[00:00:00] 窗外的麻雀在电线杆上多嘴。
[00:54:04] 你这个时候给我弄了一个戏曲的规律。
[00:54:09] 戏曲，
[00:54:09] 它只是一个小小的例子，
[00:54:12] 就和枫林村一样，
[00:54:13] 我们把这个戏曲需要拔高一下，
[00:54:16] 和自然弄到一个维度。
[00:54:19] 戏曲是不是众多文艺形式当中的一种啊？
[00:54:22] 有的时候可能是相声，
[00:54:24] 有的时候可能是话剧，
[00:54:26] 有的时候可能是二人转。
[00:54:28] 所以大家给老师一起写遵循。
[00:54:32] 遵循什么文艺或者是文化。
[00:54:36] 自身规律。
[00:54:39] OK，
[00:54:39] 大家一起把它写下来。
[00:54:41] 然后它有什么好处，
[00:54:43] 它有什么好处，
[00:54:45] 那么它。
[00:54:46] 能够怎么样？
[00:54:48] 它能够提升文化建设水平，
[00:54:51] 自己随便想一个提升文化。
[00:54:55] 建设。
[00:54:57] 水平也就可以了，
[00:54:59] 好吧？
[00:55:00] 那我问大家一下，
[00:55:01] 如果这个词我真的就想不出来应该怎么办？
[00:55:04] 我请问大家一下这个词，
[00:55:06] 如果想不出来，
[00:55:07] 应该怎么办？
[00:55:09] 材料都不一样，
[00:55:10] 就都不一样呗，
[00:55:11] 你在评论区打这个什么意思呢？
[00:55:14] 我也看不懂，
[00:55:14] 那么你能不能想一个万能的？
[00:55:17] 同学们，
[00:55:18] 比如说开创。
[00:55:20] 文化。
[00:55:22] 发展。
[00:55:24] 新局面，
[00:55:25] 大家觉得可以不？
[00:55:27] 是没有问题吧？
[00:55:28] OK，
[00:55:29] 一起把它搞定好的谱写文化发展新篇也是可以的。
[00:55:33] 好，
[00:55:34] 这个分论点呢，
[00:55:35] 也就给大家搞完了，
[00:55:36] 下面这个第二个分论点也就写完了，
[00:55:39] 我再给大家看一下第三个分论点。
[00:55:42] 大家看第三个材料读一下，
[00:55:45] 断首句，
[00:55:45] 请问它出现了一个姚书，
[00:55:48] 看到姚书，
[00:55:49] 你脑子当中要反应它大概率是一个什么？
[00:55:53] 是不是是一个故事性的材料，
[00:55:55] 遇到故事性的材料，
[00:55:57] 在考试的时候要精读是读每一个故事的断首句，
[00:56:01] 断尾句，
[00:56:02] 还是要怎么办？
[00:56:03] 尽快的去找规范的表述，
[00:56:05] 这个规范的表述是在什么地方去找哪位同学告诉我是不是在？
[00:56:12] 手段或者是尾段去找我优先，
[00:56:16] 先把它看到尾段。
[00:56:18] 好了，
[00:56:19] 大家看这个尾段能不能和规律发生关系呢？
[00:56:24] 你脑子当中一定要有目标导向。
[00:56:28] 找分论点，
[00:56:29] 一定要是找和规律有关的对策，
[00:56:32] 同学们有没有同学能够找到和规律有关的对策？
[00:56:38] 这是一个断首句，
[00:56:39] 这是一个断尾句，
[00:56:41] 这个题目如果和规律发生关系的话，
[00:56:44] 大家觉得它是哪个词能够看到？
[00:56:47] 你会发现知道道就是道理，
[00:56:50] 道就是指的方法，
[00:56:52] 道也是指的规律，
[00:56:53] 所以这里面指的是什么规律呢？
[00:56:57] 它本质上讲的是治理的规律，
[00:57:00] 治理清河，
[00:57:01] 它是和凤林村一样的，
[00:57:03] 它是和戏曲一样的。
[00:57:05] 记住了，
[00:57:06] 清河，
[00:57:06] 它只是一个名字，
[00:57:08] 它是指的社区，
[00:57:09] 所以大家一起写下来遵循。
[00:57:15] 社区。
[00:57:18] 治理。
[00:57:21] 规律一起把它搞定，
[00:57:23] 遵循社区治理规律。
[00:57:25] 好了，
[00:57:25] 我问大家一下，
[00:57:27] 它有什么好处？
[00:57:28] 这个好处你不一定跟我一样啊。
[00:57:31] 这个好处，
[00:57:32] 只要写的合情合理就行了。
[00:57:34] 提升。
[00:57:36] 基层因为我们的总论点是提升治理效能，
[00:57:39] 这个里面是提升的社区治理效能，
[00:57:43] 我把社区变换一个词。
[00:57:45] 提升基层。
[00:57:46] 治理。
[00:57:48] 效能你看就把总论点题干当中的那个提成，
[00:57:52] 提升治理效能给分拆了是没有问题的好吧？
[00:57:56] 好了，
[00:57:56] 又把它过掉了，
[00:57:57] 好大家再来看一下第四个资产段，
[00:58:00] 我首先问大家一下第四个资产段。
[00:58:04] 看断首句他是在说什么？
[00:58:06] 是不是在说一个总结的段落，
[00:58:08] 然后又出现了一个郑志涛？
[00:58:11] 看到郑志涛你脑子当中要想到他是一个。
[00:58:14] 什么样的表述？
[00:58:16] 要想到什么样的表述，
[00:58:18] 各位是不是在讲一个故事性的表述啊？
[00:58:22] 看到故事性的表述，
[00:58:24] 你脑子当中要想到这个时候。
[00:58:27] 要不要从故？
[00:58:28] 要不要优先从故事当中去找对策？
[00:58:32] 不要要什么？
[00:58:33] 要找到规范的段落。
[00:58:35] 规范的段落，
[00:58:36] 请问大家一下是在？
[00:58:38] 手段还是在尾段，
[00:58:40] 抓紧时间去看，
[00:58:42] 那我就去找一下尾段也就可以了。
[00:58:46] 好了，
[00:58:46] 大家来看一下尾段出现了一个报道的结语，
[00:58:50] 请问结语是代表什么意思？
[00:58:53] 哪位同学可以告诉我？
[00:58:55] 结语是不是本身就有总结的意思？
[00:58:59] 各位，
[00:58:59] 你的总论点是什么？
[00:59:01] 是智慧，
[00:59:02] 你的总论点是什么？
[00:59:04] 是不是在说一个规律啊？
[00:59:07] 各位有没有同学能够在在这个结语当中找到和规律有关系的对策？
[00:59:15] 有关系的词，
[00:59:16] 哪位同学可以告诉我，
[00:59:19] 你会发现这个里边它讲的是城市运行规律，
[00:59:23] 大家能够同意吗？
[00:59:25] 所以我们问大家一下，
[00:59:27] 我们的分论点要不要遵循？
[00:59:31] 遵循什么？
[00:59:32] 城市。
[00:59:35] 运行规律啊。
[00:59:38] 运行规律啊，
[00:59:39] 或者治理规律都是可以的，
[00:59:41] 各位，
[00:59:41] 然后这是分类点的对策，
[00:59:43] 分类点的影响是总影响，
[00:59:45] 是提升治理效能，
[00:59:47] 这个是提升的什么效能？
[00:59:49] 城市我们稍微换一个词，
[00:59:51] 提升社会治理效能。
[00:59:53] 提升社会。
[00:59:56] 治理。
[00:59:58] 效能你的影响答案不一定跟我一样，
[01:00:01] 但是你的对策尽量的包含城市运行规律，
[01:00:05] 这是非常重要的。
[01:00:07] 好吧，
[01:00:07] 这是非常重要的好了。
[01:00:10] 大家能够看到遵循城市治理规律，
[01:00:13] 提升治理效能也就可以了好吧。
[01:00:16] 可以的话，
[01:00:17] 给老师打飞机，
[01:00:18] 我就给大家全部准备好了，
[01:00:20] 总论点的话给大家说清楚了啊。
[01:00:23] 各位不要刷屏啊，
[01:00:24] 你们刷的那个屏问的那个问题，
[01:00:27] 我早就看到了，
[01:00:28] 只是我觉得你那个问题呢，
[01:00:30] 根本就不叫问题，
[01:00:31] 你说你说的叫什么问题呢？
[01:00:33] 大家来看一下这个题目，
[01:00:35] 这个题目所有的我都给大家讲了来，
[01:00:38] 我们来看一下啊，
[01:00:39] 再来看一下这个题目，
[01:00:41] 请问大家一下。
[01:00:42] 他有没有说必须从给定材料一当中找分论点，
[01:00:47] 大家认真的读一下，
[01:00:49] 他只是说这句话。
[01:00:51] 是在材料一当中出现，
[01:00:53] 但是人家让你参考给定材料，
[01:00:55] 他并没有说只有材料一，
[01:00:57] 只有材料二。
[01:00:59] 所以我们这个时候能够找到，
[01:01:02] 就要都把它给我找出来也就可以了，
[01:01:05] 好吧？
[01:01:06] 好了啊，
[01:01:06] 再接着给大家往下走。
[01:01:09] 再带着大家往下走。
[01:01:12] 你就跟着啊，
[01:01:13] 跟着题目就是别再刷屏哈，
[01:01:15] 然后呢，
[01:01:16] 你就跟着走就行了，
[01:01:17] 待会呢，
[01:01:18] 我相信我已经讲的非常详细了，
[01:01:21] 大家。
[01:01:21] 如果你们同意我的判断的话，
[01:01:23] 就给老师打个一，
[01:01:24] 你觉得我讲的详细就给老师打个一好吧，
[01:01:27] 这个没关系啊，
[01:01:28] 不要在这边一直刷屏，
[01:01:30] 你问的那些问题呢，
[01:01:31] 你就根本就没有提前看题目。
[01:01:33] 这个你就不要在评论区刷了，
[01:01:35] 我也没有时间给你解释，
[01:01:37] 因为今天晚上肯定是要拖堂的好吧，
[01:01:39] 然后我们大家下。
[01:01:40] 请问大家下。
[01:01:41] 这个的议论文的分论点的模式，
[01:01:45] 我们用的是哪种模式？
[01:01:47] 是不是用的是议论文的模式，
[01:01:50] 它是用的议论文的对策加影响的模式。
[01:01:55] 还是用的议论文的总论点加对策加影响的模式，
[01:02:01] 用的哪一种？
[01:02:02] 我问大家一下，
[01:02:04] 是不是用的第一种啊？
[01:02:05] 如果你想把。
[01:02:06] 总论点加上去，
[01:02:08] 请问大家下可以不？
[01:02:10] 总论点你既可以用那个总的对策作为总论点，
[01:02:15] 又可以用总的影响作为总论点。
[01:02:18] 如果用总的影响作为总论点的话题，
[01:02:22] 干当中有一句话叫提升治理效能。
[01:02:26] 大家还记得不记得的话，
[01:02:28] 给老师打飞机，
[01:02:30] 提升治理效能，
[01:02:31] 大家觉得可以吧？
[01:02:33] 如果用总的对策的话，
[01:02:35] 这里面有一个智慧。
[01:02:36] 是不是你就把智慧？
[01:02:39] 把它写上去也就可以了，
[01:02:41] 智慧那么怎么样？
[01:02:43] 你可以前面加一个动词实现。
[01:02:46] 啊，
[01:02:46] 智慧需要遵循。
[01:02:50] 发展规律也是可以的啊，
[01:02:52] 这个大家像这种呢，
[01:02:54] 大家加不加都行，
[01:02:56] 但是智慧一定要写到标题里面，
[01:02:59] 一定要写到开头的。
[01:03:00] 最后一句话里边现在听懂了吗？
[01:03:03] 那么最好把提升治理效能也写在开头最后一句话，
[01:03:07] 因为这个题目它就是让我们用。
[01:03:10] 智慧为题，
[01:03:11] 为题就是为题目，
[01:03:12] 他不需要我们自己再拟标题了，
[01:03:14] 好了，
[01:03:15] 大家再来看一下这个题目有没有同学能够告诉我？
[01:03:19] 应该怎么搞定？
[01:03:20] 大家看这是国考的一个题目，
[01:03:22] 给定材料反映了事物间互补关系，
[01:03:25] 不是简单的拼合，
[01:03:26] 而是相互作用，
[01:03:28] 相互激发，
[01:03:28] 相互促进的。
[01:03:29] 机制，
[01:03:30] 请你对此进行深入思考，
[01:03:32] 联系实际自选角度，
[01:03:33] 自拟题目，
[01:03:34] 写一篇文章，
[01:03:35] 我现在问大家一下。
[01:03:37] 这个题目如果我们非要从题干当中出分论点的话，
[01:03:42] 大家觉得能不能把它找出来？
[01:03:45] 各位，
[01:03:46] 如果非要从题干当中出分论点，
[01:03:49] 你们觉得能够出吗？
[01:03:50] 各位，
[01:03:51] 如果从分论点当中出，
[01:03:52] 我觉得还真的能，
[01:03:54] 我就直接写。
[01:03:55] 相互作用，
[01:03:56] 相互激发，
[01:03:57] 相互促进的机制，
[01:03:58] 这是第一个分论点，
[01:04:00] 这是第二个分论点，
[01:04:01] 这是第三个分论点，
[01:04:03] 大家觉得可行不？
[01:04:04] 各位，
[01:04:05] 大家觉得可行吗？
[01:04:06] 我觉得可行，
[01:04:07] 但是如果我这样写了之后，
[01:04:10] 我觉得我会有一个非常大的麻烦。
[01:04:13] 你们告诉我这个麻烦是什么？
[01:04:16] 哪位同学可以告诉我？
[01:04:18] 就是如果我就写互补是互相作用的机制，
[01:04:22] 互补是互相激发的机制互补。
[01:04:25] 是互相促进的机制，
[01:04:27] 你有没有觉得互相作用，
[01:04:29] 互相激发，
[01:04:30] 互相促进？
[01:04:30] 我的妈呀，
[01:04:31] 我真的是分不清。
[01:04:33] 反正你们肯定有同学比我更牛逼，
[01:04:35] 但是我真的就是分不清有没有这种感觉，
[01:04:38] 哎，
[01:04:39] 你们有跟东哥差不多感觉的话。
[01:04:41] 就给老师打个一这个，
[01:04:43] 我就实事求是说我在考试的时候，
[01:04:45] 我真的是分不清什么叫作用，
[01:04:47] 什么叫激发，
[01:04:48] 什么叫促进，
[01:04:49] 尤其他们前面还有个互相，
[01:04:51] 那待会我写的时候。
[01:04:52] 一定是。
[01:04:54] 层次不清楚的，
[01:04:55] 所以这个时候我比较着急，
[01:04:58] 我就知道它总论点对策，
[01:05:00] 总论点是在说互补。
[01:05:02] 各位，
[01:05:03] 我请问大家一下，
[01:05:04] 总论点是在说互补的话，
[01:05:06] 我们要找分论点的话，
[01:05:08] 分论点是找对策还是找影响？
[01:05:11] 像我这种脑子比较差的人，
[01:05:13] 我会找对策还是找影响？
[01:05:15] 我是不是要找一个对策好了，
[01:05:18] 那么请问对策像这种单主题的可以来源于什么地方？
[01:05:23] 第一个来源于题干吧。
[01:05:25] 题干，
[01:05:26] 我这个题目写题干，
[01:05:28] 我就真的不会写，
[01:05:29] 然后呢，
[01:05:30] 第二个来源于材料吧。
[01:05:32] 好了，
[01:05:32] 第三个来源于什么？
[01:05:35] 哪位同学告诉我来源于其他的客观小题吧。
[01:05:40] 其他的客观小题好了，
[01:05:42] 我先带着大家来看一下其他的客观小题，
[01:05:46] 你看客观小题的话，
[01:05:47] 你脑子当中一定要有一个。
[01:05:50] 总的目标导向，
[01:05:51] 这个目标同学们告诉我是什么？
[01:05:54] 这个目标就是你的总论点，
[01:05:56] 大家的总论点上一个题目是和规律有关。
[01:06:00] 这个题目是和什么有关？
[01:06:02] 这个题目是和互补有关系，
[01:06:05] 大家现在听懂了吗？
[01:06:07] 请问大家下这个互补，
[01:06:10] 你在一在二在三在四当中，
[01:06:14] 能不能直接看到？
[01:06:16] 和互补有关系的那个词，
[01:06:19] 同学们抓紧时间告诉我，
[01:06:21] 哎，
[01:06:21] 你有没有看到互补？
[01:06:24] 各位，
[01:06:24] 有没有你就你就你就往上往上靠来，
[01:06:28] 我先问大家一下，
[01:06:30] 给定材料一当中。
[01:06:32] 这个能不能看出他是在说什么蛇和什么互补？
[01:06:36] 哪位同学可以告诉我材料一当中能不能看出什么什么互补生态实践智慧，
[01:06:43] 那么我大约知道可能是人和生态的互补。
[01:06:47] 当然，
[01:06:47] 我从题干当中，
[01:06:49] 我只看到了生态，
[01:06:50] 但是没有关系好了，
[01:06:52] 看一下第二个自然段，
[01:06:54] 你觉得有没有和互补比较密切的词？
[01:06:57] 是不是我问大家下良性互动和互补？
[01:07:02] 能不能是相同的词？
[01:07:04] 能不能是相近的词，
[01:07:06] 是完全没有问题的吧，
[01:07:08] 那么如果这里面说的话，
[01:07:10] 请问是指的谁和谁互补？
[01:07:13] 是不是指的政府和企业互补啊？
[01:07:15] 好了再来看一下第三个自然段，
[01:07:18] 大家觉得如果非要说互补的话，
[01:07:21] 我会发现我找不出来，
[01:07:23] 但是。
[01:07:23] 这个时候零票制，
[01:07:25] 它大概率是互补的，
[01:07:26] 其中一个补，
[01:07:27] 大家同意吧，
[01:07:28] 好了再看一下第四个资产段有没有和互补能够发生关系的？
[01:07:34] 一定要和目标导向啊，
[01:07:36] 和总论点审题嘛，
[01:07:38] 各位是不是共发展和互补是一个意思啊，
[01:07:41] 所以他说的是科普和科研的互补。
[01:07:45] 现在听懂了吗？
[01:07:46] 好了，
[01:07:46] 所以我问大家下，
[01:07:48] 这个时候我们从这个小题当中就直接能够看出来。
[01:07:53] 它涉及到互补，
[01:07:54] 请问是什么互补？
[01:07:56] 哪位同学可以告诉我？
[01:07:59] 从这个小题当中，
[01:08:00] 直接能够看出来它涉及到一个互补是什么，
[01:08:03] 互补哪位同学可以告诉我，
[01:08:06] 直接能够看出来的是科研，
[01:08:08] 科普的互补。
[01:08:09] 直接能够看出来的是，
[01:08:11] 政府还有企业的互补，
[01:08:12] 这是完全没有问题的，
[01:08:14] 所以我问大家下简单不？
[01:08:16] 各位，
[01:08:17] 那么我们这是只是通过小题进行一个粗略的判断，
[01:08:23] 我们再从材料当中进行一个。
[01:08:26] 进一步的印证也就可以了，
[01:08:28] 好，
[01:08:28] 我们带着大家一起往下走，
[01:08:31] 大家别着急。
[01:08:32] 大家来看一下，
[01:08:34] 拿到这个题目，
[01:08:35] 第一个自然段。
[01:08:37] 第一个自然段出现了一个负量，
[01:08:40] 出现了一个负量，
[01:08:41] 请问大家一下，
[01:08:43] 看到具体的人名地名，
[01:08:45] 你们脑子当中应该想到。
[01:08:47] 它是一个什么？
[01:08:48] 它是一个故事性的材料，
[01:08:50] 我们我们看到故事性材料，
[01:08:52] 因为在考试的时候时间也比较紧张，
[01:08:55] 我们当然你要是。
[01:08:56] 仔细从每一段断首句，
[01:08:58] 断尾句找一支，
[01:08:59] 但是最好你要想到去找规范总结段，
[01:09:02] 这个规范总结段一般在什么地方？
[01:09:05] 是不是在首段或者是在一个尾段，
[01:09:08] 我就抓紧时间先扫一眼尾段，
[01:09:11] 看看能不能加快做题的速度。
[01:09:14] 好了，
[01:09:14] 那么这个时候大家来看一下这个尾段也就出来了。
[01:09:20] 拿到尾段的时候，
[01:09:22] 我脑子当中要有一个目标导向，
[01:09:24] 这个目标请问大家一下是在说什么？
[01:09:28] 是不是在说总论点，
[01:09:30] 也就是互补啊，
[01:09:31] 找到互补的话要找分论点，
[01:09:34] 各位大家看看。
[01:09:36] 第12个自然段段首句段尾句。
[01:09:39] 抓紧时间给老师看一下，
[01:09:42] 有没有能够和互补这个词挂钩的互补一定是。
[01:09:48] 你和我互补，
[01:09:49] 那么a和b互补，
[01:09:51] 或者c和d互补，
[01:09:52] 你会发现他上来断手续就出现了人和自然。
[01:09:57] 相互适应，
[01:09:58] 请问相互适应和互补是在说一个意思吗？
[01:10:02] 哎，
[01:10:02] 它就是相同的词，
[01:10:04] 就是相近的词。
[01:10:05] 所以我们的答案也就出来了，
[01:10:08] 请问我们的分论点应该怎么写？
[01:10:11] 他让我们写成文章议论文，
[01:10:13] 你就写成总论点加对策，
[01:10:16] 再加上影响的模式，
[01:10:18] 总论点是什么？
[01:10:19] 以互补。
[01:10:21] 维比。
[01:10:23] 对策是什么？
[01:10:24] 哪位同学告诉我是不是就是人与自然的互补啊？
[01:10:29] 所以大家一起写。
[01:10:31] 区在。
[01:10:34] 人与。
[01:10:36] 自然那么相互适应，
[01:10:39] 你可以把它稍微变换一下到。
[01:10:45] 和谐。
[01:10:48] 共生。
[01:10:50] 上各位加三个词，
[01:10:52] 润色一下，
[01:10:53] 你们会加哪三个词？
[01:10:55] 我随便写三个词谋突破也就可以了。
[01:10:59] 谋突破。
[01:11:00] 好，
[01:11:00] 它会有什么样影响呢？
[01:11:02] 我问大家一下，
[01:11:04] 你觉得人与自然那个影响，
[01:11:06] 你能够想到哪个哪个词？
[01:11:09] 那个影响你就给我想到一个绿色发展。
[01:11:13] 绿色发展也就可以了，
[01:11:15] 想不到绿色发展也没关系，
[01:11:17] 前面加一个动词加哪个动词，
[01:11:20] 大家一起写。
[01:11:21] 实现绿色发展，
[01:11:22] 你看不就可以了吗？
[01:11:24] 但是如果在考试的时候，
[01:11:26] 这个影响实在想不出来，
[01:11:28] 实现绿色发展，
[01:11:29] 我想一个万能的。
[01:11:31] 请问可以不？
[01:11:32] 比如说写一个共创。
[01:11:35] 美好未来，
[01:11:36] 大家觉得可以，
[01:11:37] 不是完全没有问题的，
[01:11:39] 然后呢，
[01:11:40] 构建发展新格局行不行也是可以的。
[01:11:43] 好，
[01:11:44] 大家来看一下。
[01:11:45] 这第一个分论点就写完了，
[01:11:48] 这第一个分论点，
[01:11:49] 大家能够理解的话就给老师敲个一。
[01:11:52] 第一个分论点，
[01:11:53] 能够理解的话就给老师敲个一，
[01:11:56] 这个没问题吧？
[01:11:57] 好了，
[01:11:57] 请问一下，
[01:11:58] 第二个分论点还要不要再仔细去看材料？
[01:12:02] 第二个分论点还要不要再仔细去看材料？
[01:12:05] 完全不需要了，
[01:12:07] 为什么不需要？
[01:12:08] 是因为刚才。
[01:12:09] 从小题当中互补已经明显出现了两个词，
[01:12:14] 这两个词是指的什么和什么的互补？
[01:12:18] 小题当中明显出现了一个是指的政府，
[01:12:21] 一个是指的企业，
[01:12:23] 大家同意吧，
[01:12:24] 所以你的第二个分论点也就出来了。
[01:12:27] 需要在政府和企业的把互补给我换成一个比较好的词，
[01:12:33] 你们觉得换成哪一个词？
[01:12:36] 换成哪一个词？
[01:12:39] 各位良性互动，
[01:12:41] 上求实效，
[01:12:42] 然后最后协同共治，
[01:12:44] 它指的是治理，
[01:12:46] 治理，
[01:12:47] 治理黄河的问题。
[01:12:49] 现在可以过的话，
[01:12:50] 就给老师打个过，
[01:12:52] 你在你的具体表述不一定和我一样，
[01:12:55] 我只要看到企业政府，
[01:12:57] 我就会给你加分好吧？
[01:12:59] 好了，
[01:13:00] 再接着带着大家往下走啊，
[01:13:03] 再带着大家往下走，
[01:13:05] 大家来看一下。
[01:13:06] 材料三应该怎么搞定？
[01:13:09] 材料三我们刚才说互补的话已经找出来了，
[01:13:13] 一个补其中那个补是指的什么？
[01:13:16] 哪位同学可以告诉我？
[01:13:18] 是不是？
[01:13:19] 小题当中出现了一个词叫零票制啊，
[01:13:23] 大家还记得这个词吗？
[01:13:26] 所以我们现在零票制。
[01:13:28] 请问它是一个例子还是一个规范的表述？
[01:13:34] 各位零票制。
[01:13:36] 很显然，
[01:13:36] 小小的零票啊，
[01:13:37] 今天没有时间带着大家一句一句过，
[01:13:40] 因为要讲的东西比较多。
[01:13:43] 它是不是一个具体的例子啊？
[01:13:45] 请问大家一下，
[01:13:46] 你觉得零票制它是在说什么？
[01:13:49] 哪位同学可以告诉我这个题目当年最难的就是这个？
[01:13:55] 零票制，
[01:13:55] 它可以质押零票，
[01:13:57] 它可以交易零票，
[01:13:59] 它可以兑现这个就相当于和支票是差不多的东西。
[01:14:05] 各位，
[01:14:05] 能不能把这个例子就像枫林村的例子给我上升一个档次？
[01:14:11] 是不是就是在说？
[01:14:13] 金融啊，
[01:14:14] 大家现在能够听懂了的吗？
[01:14:17] 各位同学们，
[01:14:18] 那么题目题目当中这个零票制主要是要为什么服务的？
[01:14:25] 哪位同学告诉我是不是林业局的局长，
[01:14:29] 主要他要干什么？
[01:14:31] 哪位同学就是林？
[01:14:33] 林业局的局长，
[01:14:34] 他主要负责的是什么？
[01:14:36] 我就给大家说了，
[01:14:37] 林业局他永远负责的是林业。
[01:14:40] 所以这个故事它讲的是一个林业和林票制的事情，
[01:14:46] 现在清晰的话，
[01:14:48] 给老师打个一。
[01:14:49] 现在那么就是零票制，
[01:14:52] 它是在说金融林业，
[01:14:54] 请问一下是在说什么？
[01:14:57] 林票制如果是再说金融林业，
[01:15:00] 我们要有林业，
[01:15:01] 有有有畜牧业，
[01:15:03] 还有渔业，
[01:15:04] 要把它上升一下。
[01:15:06] 是不是指的一个实业啊？
[01:15:08] 所以你看这样的话就不一样了，
[01:15:10] 所以这个题目它的互补一定要记住总论点和它们俩之间发生关联，
[01:15:16] 那么就是在说。
[01:15:17] 金融和实业的互补，
[01:15:19] 这个在考试的时候是最难的一点啊，
[01:15:22] 最难的一点，
[01:15:24] 所以大家呢，
[01:15:25] 就是这个啊，
[01:15:26] 你慢慢的要从这个例子稍微拔一点点啊。
[01:15:30] 好了，
[01:15:30] 这是一个总论点，
[01:15:32] 这是一个分论点的对策，
[01:15:34] 这是一个影响大家觉得可以过的话，
[01:15:38] 就给老师打个过。
[01:15:40] 这个题目最难的就是不能够把零票制直接照搬零票制，
[01:15:45] 它只是一个例子，
[01:15:46] 要把零票制变成金融林业，
[01:15:49] 要把它变成实业。
[01:15:50] 好吧好，
[01:15:51] 下面最后一个分论点，
[01:15:53] 请问大家一下还要不要找最后一个分论点？
[01:15:58] 就是在说互补。
[01:15:59] 那个前面的小题当中，
[01:16:01] 刚已经把那两个互补给我们说出来了，
[01:16:05] 那两个互补是什么？
[01:16:07] 是不是一个科普，
[01:16:09] 还有一个是科研的互补呢？
[01:16:12] 大家发现了吗？
[01:16:13] 啊，
[01:16:14] 是在说科普和科研的互补啊。
[01:16:17] 好了，
[01:16:17] 另外，
[01:16:18] 如果大家担心的话，
[01:16:19] 我问大家下这里面是不是就是在说科研科普的互补？
[01:16:24] 这个是不是就是在说科普科研的互补？
[01:16:27] 这个是不是在说科普科研的互补？
[01:16:30] 他就在尾段给你说的非常清晰了，
[01:16:33] 但是没有必要再细看了。
[01:16:35] 好吧，
[01:16:35] 各位，
[01:16:36] 这个题目请问大家下1200字在考试的时候写几个分论点肯定是写。
[01:16:43] 四个分论点是最好的，
[01:16:44] 这个就想都不用想啊，
[01:16:46] 这个题目大家觉得最难的分论点是哪一个？
[01:16:49] 有哪位同学可以告诉我？
[01:16:51] 最难的分类点其实就是林票和林业，
[01:16:54] 因为很多同学呢，
[01:16:55] 也不是东北的他他他不了解有林票，
[01:16:58] 你们那个时候呢，
[01:16:59] 都还在穿尿不湿呢是吧？
[01:17:01] 那个时候那个时候吃饭，
[01:17:03] 大家知道有一种叫饭票是吧？
[01:17:07] OK好，
[01:17:07] 下面再带着大家来看一下这个题目，
[01:17:11] 它是广东的题目，
[01:17:13] 让我们写策论文。
[01:17:15] 请问策略的话，
[01:17:17] 我们在考试的时候，
[01:17:19] 最重要的是要找什么？
[01:17:21] 是不是找对策？
[01:17:22] 找对策主要是找什么？
[01:17:24] 动词再加上一个事情，
[01:17:27] 你看啊，
[01:17:28] 它的总论点是做优做强制造业。
[01:17:31] 家底，
[01:17:32] 然后我们带着大家去找分论点好，
[01:17:35] 大家抓紧时间看一下材料六那么这个材料六的话呢，
[01:17:39] 我就问大家一下有没有同学能够给老师直接看出来？
[01:17:44] 哪位同学可以直接看出来有没有从这个地方就直接能够看出来的？
[01:17:50] 各位，
[01:17:50] 你会发现材料六。
[01:17:52] 从这个地方看一下，
[01:17:54] 断首句它是在讲什么？
[01:17:57] 那么，
[01:17:57] 这一个并没有出现任何的对策，
[01:18:02] 然后看到陈总指挥。
[01:18:05] 看到总指挥，
[01:18:06] 你能够想到哪个词？
[01:18:07] 你能够想到它是什么句子？
[01:18:10] 是不是就是在说观点句啊？
[01:18:12] 这个观点句当中。
[01:18:13] 就是最重要的，
[01:18:14] 如果涉及到一个对策的话，
[01:18:17] 大家觉得它是一个什么对策？
[01:18:20] 中间有一个科技创新，
[01:18:23] 大家看到了吗？
[01:18:24] 那这时候呢，
[01:18:26] 如果你看不到也没有关系，
[01:18:28] 然后再来看一下这一个材料当中，
[01:18:31] 如果非要选一个对策的话，
[01:18:33] 大家会觉得。
[01:18:35] 是不是还有一个创新？
[01:18:37] 然后呢，
[01:18:37] 再来看一下这个的话，
[01:18:39] 还有一个创新，
[01:18:40] 所以我下面就不带着大家读了，
[01:18:43] 我就给你读这三段，
[01:18:44] 你觉得我这一篇材料最想交给你的找分论点。
[01:18:48] 可以通过粗读的时候读什么？
[01:18:51] 如果刚才是在读首段尾段，
[01:18:53] 是在读前面的客观小题，
[01:18:55] 这一段我就想跟你说，
[01:18:57] 一定要注意。
[01:18:59] 高频词，
[01:19:00] 大家把高频词给老师打出来，
[01:19:03] 你看它和我们就是小题，
[01:19:06] 找总括词，
[01:19:07] 找前置词是一个意思的。
[01:19:10] 大家看后面依然有创新是吧？
[01:19:12] 后面依然有创新，
[01:19:14] 好了我再带着大家一起往下看。
[01:19:18] 大家看后面依然有创新好。
[01:19:22] 大家看后面还有创新。
[01:19:25] 大家看后面还有一个创新。
[01:19:29] 大家再接着往下看啊，
[01:19:31] 再接着往下看就是新活力，
[01:19:34] 新动力大概率也是在创新。
[01:19:37] 我们再带着大家往下看，
[01:19:40] 还是在说创新。
[01:19:41] 然后呢？
[01:19:42] 还是在说创新，
[01:19:43] 现在能够看懂的话，
[01:19:45] 给老师打飞机，
[01:19:47] 所以他有那么多词在写创新，
[01:19:50] 所以我的。
[01:19:51] 做优做强制造业家底，
[01:19:53] 第一个分论点也就是需打造创新高地，
[01:19:56] 大家觉得可以过的话，
[01:19:58] 就给老师打个过。
[01:19:59] 好了，
[01:20:00] 我们再带着大家往下走，
[01:20:02] 大家来看一下材料。
[01:20:04] 七当中，
[01:20:05] 我依然想再给大家介绍一下高频词。
