[00:01:18] 大家现在能够听见吗？
[00:49:34] 如果没有这个背景，
[00:49:36] 能不能成为文章也是可以的。
[00:49:38] 就是你上我的课，
[00:49:40] 这些要素大家可以随机的进行组合好吧，
[00:49:43] 随机的进行组合好嘞，
[00:49:45] 再带着大家往下走。
[00:49:47] 大家再来看一下，
[00:49:48] 最后我们要写一个结尾，
[00:49:50] 写这个结尾应该怎么写？
[00:49:52] 一般就是三个要素，
[00:49:54] 名言警句。
[00:49:55] 然后第二步再加上一个影响，
[00:49:57] 第三步再加上一个期待，
[00:50:00] 呼吁展望，
[00:50:00] 号召，
[00:50:01] 名言，
[00:50:01] 警句历尽天华成此景，
[00:50:03] 人间万事出千辛。
[00:50:05] 哎，
[00:50:05] 这个影响我假如不会写，
[00:50:07] 我就加一个问题，
[00:50:08] 你觉得行吗？
[00:50:09] 面对困难和挑战没有问题，
[00:50:11] 最后加一个期待展望，
[00:50:13] 呼吁号召我们要把三个分论点。
[00:50:15] 在结尾的时候再回扣分论点，
[00:50:18] 大家把回扣分论点给老师写在评论区，
[00:50:22] 不管开头结尾，
[00:50:23] 你呢？
[00:50:24] 把分论点呢回扣一下，
[00:50:26] 再点一下。
[00:50:27] 这样的话呢，
[00:50:28] 它实时的能够形成一个学习的闭环，
[00:50:30] 你永远没有忘记自己是在干什么是吧？
[00:50:33] 当然，
[00:50:34] 如果大家在考试的时候。
[00:50:36] 写不出来，
[00:50:36] 还有最后的几秒钟呢，
[00:50:38] 那没有办法，
[00:50:39] 我们只能开始了啊，
[00:50:41] 我们只能开始了，
[00:50:42] 我们可以怎么样随便想一个扬帆起航，
[00:50:45] 正当时砥砺奋进，
[00:50:46] 普华庄。
[00:50:47] 然后再接着写叫什么当前站在第二个100年奋斗目标的历史交会点上，
[00:50:53] 面向十五五迈步新征程。
[00:50:56] 然后呢？
[00:50:57] 就是。
[00:50:57] 怎么样叫做从心出发，
[00:50:59] 从心出发，
[00:51:00] 从心出发，
[00:51:01] 是夺取全面建设社会主义新农村。
[00:51:05] 新胜利的关键或者是夺取全面战，
[00:51:08] 建设全面实现乡村振兴新胜利的关键。
[00:51:12] 为此呢，
[00:51:13] 我们要坚定信念，
[00:51:14] 满怀信心，
[00:51:15] 保持风雨无阻向前进的奋进姿态。
[00:51:18] 激昂越是艰险，
[00:51:19] 越向前的精气神保有踏平坎坷成大道都把。
[00:51:23] 艰险又出发的顽强意志，
[00:51:25] 方能书写更新完美的时代篇章，
[00:51:28] 大家觉得可以不？
[00:51:30] 可以不？
[00:51:30] 各位可以不？
[00:51:32] 你看啊，
[00:51:32] 我们每一节课这节课有没有感觉时间可能短一些？
[00:51:38] 你们觉得这节课我们之所以时间短一些，
[00:51:41] 最重要的原因是什么？
[00:51:43] 最重要的原因是什么？
[00:51:45] 最重要的原因大家来看，
[00:51:48] 本质上就是你背了该背的东西。
[00:51:51] 我们每节课最重要的是要解决大家凑不出字数，
[00:51:55] 写的没有文采的问题。
[00:51:57] 正是因为你背了，
[00:51:58] 你就会写的又好又快，
[00:52:00] 老师也讲的非常轻松。
[00:52:02] 偶买告的你，
[00:52:03] 甚至到现在看到这么好的素材都没有喊我一声高的father是吧？
[00:52:10] 那么这些材料。
[00:52:11] 我问大家下，
[00:52:12] 我让你们背的，
[00:52:14] 你们有背的的同学就打个背了，
[00:52:17] 我看有多少同学背了？
[00:52:19] 各位，
[00:52:19] 你至你不一定背我这上面的材料，
[00:52:22] 但是至少这些材料大家可以简单的做一些基础，
[00:52:26] 尤其是考县乡卷的同学。
[00:52:29] 好吧，
[00:52:29] 考线象卷的同学可以把它背一背，
[00:52:32] 看一看啊，
[00:52:33] 可以把它背一背，
[00:52:34] 看一看，
[00:52:34] 我再把这些材料又给你回顾了一下，
[00:52:37] 这就是我给大家准备的材料。
[00:52:40] 当然，
[00:52:40] 大家也可以用豆包，
[00:52:42] 用deep seek，
[00:52:43] 让他们帮你生成一些呃更好的例子，
[00:52:47] 都是没有问题的，
[00:52:48] 但是前提大家。
[00:52:50] 争取微观的。
[00:52:52] 还有中观的，
[00:52:53] 还有宏观的，
[00:52:54] 各备几个，
[00:52:55] 能不能告诉东哥微观中观宏观，
[00:52:59] 你可以各备三到五句，
[00:53:01] 考试的时候就能够让你立于不败之地。
[00:53:05] 你就相信我的话，
[00:53:07] 那到时候你写的这个文章就是你经过精心准备的文章，
[00:53:12] 一定比你用灵感去写的文章要好很多啊。
[00:53:16] 好吧，
[00:53:16] 精心准备的文章比你用灵感要弄的文章呢，
[00:53:20] 要好很多好吧。
[00:53:22] 好了，
[00:53:22] 大家现在能够看懂吗？
[00:53:24] 这节课的话呢，
[00:53:26] 觉得轻松不？
[00:53:27] 这节课觉得轻松吗？
[00:53:29] 各位，
[00:53:30] 明天晚上我想给大家，
[00:53:32] 就是把后天的课提到明天晚上。
[00:53:35] 再给你们讲一下，
[00:53:37] 大家觉得行吗？
[00:53:38] 就是我问大家一下，
[00:53:40] 就是明后天的课提高到明天晚上，
[00:53:43] 我赶紧想把这个课给大家结束，
[00:53:45] 因为呢，
[00:53:46] 这个全家桶呢，
[00:53:47] 还想带着大家。
[00:53:48] 有的同学有复盘有答疑，
[00:53:50] 我就因为我们那个刷题课呢，
[00:53:52] 8月6号就要开始了，
[00:53:53] 然后呢，
[00:53:54] 就在这中间的话呢，
[00:53:55] 我看看给大家提前两天，
[00:53:57] 我中间的话呢，
[00:53:58] 看看给大家。
[00:53:59] 要么是抖音连麦答题，
[00:54:00] 要么就是在我们的呃，
[00:54:02] 就是这个就是这个什么出行公款APP上给大家直播答一下疑，
[00:54:06] 大家觉得行吗？
[00:54:07] 好吧，
[00:54:08] 这样的话呢，
[00:54:09] 我们就把时间的话呢，
[00:54:10] 赶一赶，
[00:54:11] 答应大家答疑的，
[00:54:12] 我一直帮大家就是会做到的啊，
[00:54:14] 大家别着急，
[00:54:15] 因为我们先要把正课上完。
[00:54:17] 同学们的问题呢，
[00:54:18] 我看了很多都是共性的问题，
[00:54:20] 我都看了，
[00:54:21] 所以大家每节大总文，
[00:54:23] 你只要做的是把总论点和分论点能够找出来也就可以了。
[00:54:27] 行吧，
[00:54:28] 好吧。
[00:54:30] OK，
[00:54:32] 好吧。
[00:54:36] 好了，
[00:54:36] 我们的抖音卖课这三天就不卖课了啊，
[00:54:39] 这三天我就给大家把这个搞定，
[00:54:41] 各位你不会的东西觉得难的东西一定不要躲，
[00:54:45] 先搞明白后竞战，
[00:54:46] 你就比别人优秀了。
[00:54:48] 然后呢，
[00:54:48] 因为大部分人都不舍得花力气去钻研自动淘汰，
[00:54:51] 所以你执着的努力就占了大便宜，
[00:54:54] 请相信相信的力量选择一件事情就坚持去做，
[00:54:57] 低头赶路，
[00:54:58] 不问前程，
[00:54:58] 会被越来越多。
[00:55:00] 的人看见也会被越来越多的人吸引啊，
[00:55:02] 如果有一天你的努力配上你的梦想，
[00:55:05] 那你的梦想一定不不会辜负你的努力。
[00:55:08] 好吧，
[00:55:08] 就是如果大家呃，
[00:55:09] 你就是我集中大一没有能够解决的，
[00:55:12] 你反正的话呢，
[00:55:13] 从今天开始到国考之前，
[00:55:15] 我每天的话呢，
[00:55:16] 我抖音都会直播的，
[00:55:17] 你到时候到抖音上。
[00:55:18] 带着你的讲义告诉我说多少页，
[00:55:20] 你到底有什么问题直接来找我也可以，
[00:55:23] 行吧？
[00:55:24] 就是另外呢，
[00:55:24] 初心公款APP呢也也给大家有集中答疑好吧。
[00:55:27] 就给大家说这么多了，
[00:55:30] 面试见吧，
[00:55:30] 把面试见打在评论区。
[00:55:33] 拜拜了哈，
[00:55:34] 各位。
[00:55:35] 哎呀，
[00:55:36] 加油啊。
